Postingan,caption
https://www.instagram.com/p/CcDPOeNJ603/,"Skincare di @nunhijab sekarang makin lengkap lho, Rek!

Wis ta nek belonjo kebutuhan fashion mulai ndukuran, ningsoran, tas, sepatu, sandal gae wedok onok kabeh nang kene.

Munggah nang lantai 2, full produk skincare sing sering sliwar sliwer nang medsosmu. Luengkap pokok e.

Opomane produk anyare numpuk akeh loh rek, seng viral” yo gak kalah uakeh ; onok skintific, trueve, pokoke lengkap! make up opo ae yo onok. opomane momen koyok ngene cocok gae nyetok make up seng akeh, kudu glow up rek! 

Masalah rego, ojok kuatir gak kalah kok ambek nek tuku online. Malah enak nang kene isok ndelok barange langsung.

Nunhijab
Jl. Jawa no. 55 GKB.

#infogresik #gresik #skincare #videooftheday"
https://www.instagram.com/p/CcCzHkppmPc/,"Grand Opening @applestargresikk bagi-bagi aksesoris iPhone GRATIS!

Yok ndang merapat nang Apple Star Gresik Jl. Achmad Yani no. 7 Gresik pareke perlimaan Petrokimia Gresik.

Mulai iPhone 7 sampek iPhone 12 Pro Max onok kabeh!

Keuntungane yo akeh nek tuku iPhone nang kene. Mulai garansi sampai 1 tahun, free tempered glass, free soft case, kondisi 99% like new, ambek rego ngedole maneh tetep dukur.

Wis ndang sopo sing ape ganti iPhone ndang mrene!

#infogresik #gresik"
https://www.instagram.com/p/CcCdaNdJXEl/,"Krengsengan favorit ini tetap buka selama Puasa. Tapi mulai jam 3 sore 🙈

#infogresik #gresik #kulinergresik"
https://www.instagram.com/p/CcCWFI2pZi_/,"Photo by info GRESIK on April 06, 2022. May be an image of ‎text that says '‎J'inresik info gresik &quot;RESMI! Cuti Bersama Lebaran mulai 29 April sampai 6 Mei 2022&quot; ل infogresik‎'‎."
https://www.instagram.com/p/CcCLSR-JYpw/,"Photo by info GRESIK on April 06, 2022. May be an image of text that says 'Jinresik info gresik &quot;Disnaker Kabupaten Gresik buka Posko Aduan THR&quot; J infogresik'."
https://www.instagram.com/p/Cb_y4CTpyc1/,"Gass budal engkok ngabuburit sekalian buko bareng nang @king.govalfarm, Rek! Mumpung onok DISKON 30% DURIAN lokal!

Selama Puasa ini, King Goval Farm buka mulai pukul 15.00-23.00.

Sak liyane duren, awakmu yo isok incip aneka olahane. Nek sik kurang wareg isok nyobak Bakso Iga sak Es Teler e.

Wis ndang langsung digas nang King Goval Farm, deso Kebonagung, Ujungpangkah.

#infogresik #gresik #kulinergresik #ramadan"
https://www.instagram.com/p/Cb_mvU2pO1z/,"Photo shared by info GRESIK on April 05, 2022 tagging @rs.semengresik. May be an image of ‎2 people and ‎text that says '‎ITNIRMALA RUMAH SAKIT SEMEN GRESIK IHC Corporation althcare Promo Spesial Scaling &amp; Bleaching Periode 28 Maret -14 Mei 2022 Scaling Dssn 20% Bleaching 30% Informasi Reservasi Poli Gigi (031) 3987840-41 Ext 6130 085101799191 (WA Chat Only) www.rssemengresik.com @rs.semengresik f Semen.Gresik.280 ه” (031)3987840-41‎'‎‎."
https://www.instagram.com/p/Cb_cpoJpyPx/,"Photo by info GRESIK on April 05, 2022. May be an image of text that says 'J'nresi info gresik &quot;Jangan ada kenaikan tarif air di Perumda Giri Tirta&quot; Bupati Gresik Fandi Akhmad Yani saat pelantikan direksi Perumda Giri Tirta dikutip dari tribunnews よ infogresik'."
https://www.instagram.com/p/Cb-7Y3EB8yl/,"Photo by info GRESIK on April 05, 2022. May be an image of text that says 'J'inresi info gresik &quot;Diperpanjang hingga 18 April 2022, PPKM di Gresik masih berada di Level 2&quot; よ infogresik'."
https://www.instagram.com/p/Cb-HaBfJH75/,"Ape belonjo sembarang kalir onok kabeh nang sak panggonan yo mek nang @pradefacollection, Rek!

Mulai gamis, hijab, klambi gae lanang wedok, sprei, karpet, daster, celono onok kabeh!

Istimewane maneh, nang kene yo onok ukuran BIG SIZEEE! Cocok gae sing kangelan nggolek ukuran guede-guede. Opo maneh celono jeans.

Nek Posoan ngene sering dadi jujugane wong-wong belonjo. Wis ndang digas.

Alamate nang Jl. dr. Wahidin Sudirohusodo no. 60 Randuagung (onok nang Google Map)

#infogresik #gresik #fashion #ootd"
https://www.instagram.com/p/Cb9tVfFJXN3/,"Sobat micinkuuu ayo merapat ke @cipengkuy!

Cemilan viral teko Sunda iki wis onok nang Gresik, Rek! Cocok seru gae cemilan mari buko engkok.

Regone yo murah mulai Rp10 ewuan bae. Paling larang Rp12 ewu.

Level pedese isok milih. Sing dak seneng pedes yo isok milih sing original.

Panggone onok nang Jl. Jawa sebrange Nun Hijab. Buka mulai jam 15.00-21.00 (nek dak kentekan)

#infogresik #gresik #kulinergresik #videooftheday"
https://www.instagram.com/p/Cb9T2pnpvSU/,"Photo by info GRESIK on April 04, 2022. May be an image of 2 people and text that says 'i Jinresik inresik #Gresik Today 05April2022 05 April 2022 Kurnia Suryadi Resmi Dilantik Jadi Dirut Perumda (PDAM) Giri Tirta Gresik Kurnia Suryandi resmi dilantik oleh Bupati Gresik Fandi Akhmad Yani setelah melewati beberapa tahap seleksi. Selain itu, Bupati juga melantikIr. Gunawan Setiadi, Zakik, dan Elvi Wahyudi sebagai Dewan Pengawas Perumda Giri Tirta 2022 2026 infogresik Sumber/Foto: infogresik'."
